target,prb_id,result1,result2,result3,result4,result5,,,,,
targetIP=2.20.254.154,28383,67.793865,67.90545,69.06539,67.968535,72.738935,,,,,
targetIP=202.128.75.231,22672,3.884585,2.37185,4.418315,1.949375,2.114955,,,,,
targetIP=88.134.181.11,31916,16.948685,16.62492,14.801045,15.59367,14.6704,,,,,
targetIP=66.61.173.115,26564,10.94305,10.44007,11.492775,11.231645,10.889315,,,,,
targetIP=23.52.171.114,31918,3.681375,3.613765,3.351375,3.413945,3.61355,,,,,
targetIP=190.98.152.18,21986,68.99835,68.837725,68.86623,68.84355,68.88562,,,,,
targetIP=190.98.163.155,390,7.792129,3.704065,3.638017,3.676417,3.689473,,,,,
targetIP=37.110.193.144,396,23.594501,23.506181,23.569925,23.572229,22.74202,,,,,
targetIP=85.30.162.9,395,6.92045,2.774017,2.871553,2.764801,2.730241,,,,,
targetIP=2.16.216.64,22010,13.080815,13.639745,11.155155,17.00041,10.066595,,,,,
targetIP=94.246.183.33,22017,6.036825,6.300555,5.54881,5.95123,5.946145,,,,,
targetIP=51.52.48.97,22015,13.69008,12.69056,13.57636,13.304995,12.934845,,,,,
targetIP=92.122.48.18,2308,6.218497,30.697735,4.578049,5.321474,3.805441,,,,,
targetIP=23.64.15.82,31908,10.95491,10.24434,11.03173,10.60833,10.55804,,,,,
targetIP=104.85.166.59,2301,19.104004,18.918148,18.843652,18.875908,19.020292,,,,,
targetIP=62.4.254.43,13615,11.12165,10.27919,14.96623,10.315765,10.443545,,,,,
targetIP=95.101.72.146,2303,15.270146,15.119619,15.101187,15.106563,15.117315,,,,,
targetIP=2.16.103.107,4726,28.626438,28.56807,28.52199,28.55655,28.531974,,,,,
targetIP=129.143.66.136,2305,5.675521,5.442817,5.408257,5.340673,5.495041,,,,,
targetIP=23.2.16.201,4720,64.064269,64.004365,63.343885,64.137997,64.165645,,,,,
targetIP=217.212.252.78,2307,1.841665,1.734912,1.773312,1.754112,1.745664,,,,,
targetIP=193.212.178.73,2306,2.073601,1.863168,1.98528,1.909248,1.98144,,,,,
targetIP=2.16.100.170,16064,7.457245,7.333525,7.365945,7.403745,7.42188,,,,,
targetIP=128.241.90.98,16065,79.07869,85.87005,81.264965,79.50266,84.669485,,,,,
targetIP=23.55.58.219,32226,1.93334,2.02648,2.028615,1.96148,1.953555,,,,,
targetIP=104.93.82.163,19700,21.27895,16.4364,13.46565,14.891325,14.75604,,,,,
targetIP=23.215.102.232,19701,3.212215,3.04999,3.10307,2.978645,2.88411,,,,,
targetIP=80.239.247.45,19702,36.05131,35.50684,35.039165,35.233975,34.985865,,,,,
targetIP=88.221.254.32,32223,3.64306,3.486185,3.44783,3.43822,3.44919,,,,,
targetIP=23.15.7.115,11281,18.58795,18.118615,18.58866,17.59233,17.3668,,,,,
targetIP=213.104.143.208,11280,16.35438,15.9766,13.489285,14.376385,15.23121,,,,,
targetIP=2.16.100.179,11285,6.904535,6.88719,6.87974,6.86313,6.86743,,,,,
targetIP=202.224.62.232,11287,8.088385,7.59711,7.73024,7.579495,7.503075,,,,,
targetIP=198.164.26.145,17620,40.600875,40.44307,40.51477,40.62111,40.577395,,,,,
targetIP=212.30.134.183,17625,1.1899,1.16881,1.089125,0.969605,0.98668,,,,,
targetIP=89.218.19.66,17628,39.534225,39.378485,39.352135,39.434495,39.3375,,,,,
targetIP=193.225.13.232,3742,7.104002,3.278592,3.270912,3.277056,3.286272,,,,,
targetIP=150.101.165.24,3741,16.558083,16.475908,17.997316,16.226307,16.442115,,,,,
targetIP=23.32.3.80,13531,1.6172,1.01021,1.21576,1.07847,1.171255,,,,,
targetIP=184.150.154.27,4621,6.941185,5.673217,5.728513,5.397505,5.572609,,,,,
targetIP=62.4.254.199,4622,11.009282,10.96397,11.020034,10.751234,10.985474,,,,,
targetIP=23.52.171.114,13536,0.43594,0.383335,0.35832,0.361475,0.362035,,,,,
targetIP=178.18.231.74,4628,6.85901,2.748673,2.164993,2.130433,2.174209,,,,,
targetIP=195.10.18.25,4629,14.960643,12.110595,12.226563,11.670531,12.147459,,,,,
targetIP=202.124.107.211,11753,19.84474,19.555045,19.404825,19.578805,19.36029,,,,,
targetIP=23.43.57.42,11911,136.58193,131.28683,179.311635,152.450125,161.601405,,,,,
targetIP=217.212.252.78,11758,6.263095,6.117325,6.185005,6.188085,6.724755,,,,,
targetIP=2.22.112.82,19560,15.762715,15.565985,15.72861,15.896545,14.93247,,,,,
targetIP=200.143.247.11,28708,22.09156,21.67421,21.538775,21.524785,21.553245,,,,,
targetIP=104.103.72.97,19563,6.02697,5.20965,4.398555,4.500225,4.35788,,,,,
targetIP=62.4.254.215,16395,5.0944,5.159405,5.139255,5.367885,5.089615,,,,,
targetIP=114.5.1.224,29260,7.763825,5.939065,6.21279,5.99665,6.797295,,,,,
targetIP=203.109.255.40,11016,10.848,10.491855,10.52881,10.51463,10.867185,,,,,
targetIP=92.122.213.240,20731,1.942555,2.387505,2.42857,2.248555,1.86279,,,,,
targetIP=23.59.190.114,20733,49.151525,48.518505,48.59683,48.68931,48.8139,,,,,
targetIP=2.16.103.107,20884,3.14776,2.972685,3.003725,2.97983,3.118465,,,,,
targetIP=201.48.38.152,20883,13.612485,13.308145,13.09808,13.05842,13.113075,,,,,
targetIP=184.51.114.91,20734,11.501075,11.17901,11.122925,10.97837,10.98177,,,,,
targetIP=195.14.151.155,13084,20.75986,19.7386,19.56982,19.724335,20.451285,,,,,
targetIP=208.59.215.144,19275,13.39511,12.484925,13.20339,12.45984,15.52177,,,,,
targetIP=65.175.141.201,13288,19.496475,11.479895,12.59173,11.709695,10.649215,,,,,
targetIP=46.228.223.168,175,7.272194,1.0176,1.010688,1.01376,1.007616,,,,,
targetIP=95.100.252.42,13284,9.923105,9.522245,9.63442,11.360085,9.81371,,,,,
targetIP=95.101.142.121,173,46.023178,45.917193,45.965577,45.907209,45.927177,,,,,
targetIP=95.101.0.107,13282,5.033505,4.16222,4.29,4.17659,98.49054,,,,,
targetIP=92.122.122.138,13280,10.23119,9.489365,10.78614,10.88493,9.1266,,,,,
targetIP=84.53.132.24,17889,118.766375,118.722505,118.502605,118.493575,119.563905,,,,,
targetIP=2.16.216.73,14160,16.04377,14.73377,12.218595,12.551385,13.43993,,,,,
targetIP=178.18.231.97,21199,1.23512,1.12111,1.28525,1.07947,1.18313,,,,,
targetIP=23.204.103.18,14166,15.20387,15.62341,14.020955,15.1664,16.512505,,,,,
targetIP=92.122.48.33,21282,3.9582,3.769395,3.765125,3.75736,3.765795,,,,,
targetIP=2.16.216.73,21280,17.25701,14.90426,15.34221,14.74848,15.77761,,,,,
