target,prb_id,result1,result2,result3,result4,result5,,,,,
targetIP=95.101.1.82,13282,4.63138,4.75441,4.32401,4.05047,4.16038,,,,,
targetIP=92.122.122.144,13280,12.117515,10.180385,9.20914,9.47868,9.1624,,,,,
targetIP=95.101.128.104,17889,182.14802,181.81993,184.60749,165.82988,186.498295,,,,,
targetIP=2.23.167.43,11992,24.71393,24.42476,25.45235,25.15284,24.14315,,,,,
targetIP=178.18.231.75,21199,1.834745,1.928545,1.5716,1.089545,3.41751,,,,,
targetIP=23.204.103.115,14166,15.437205,15.21249,15.29897,16.40306,13.840045,,,,,
targetIP=92.122.48.27,21282,3.92156,3.75513,3.82662,3.728965,3.830115,,,,,
targetIP=2.22.8.106,21280,15.821475,15.365445,14.496635,14.862505,14.269415,,,,,
targetIP=88.221.134.58,21934,7.26175,7.204885,7.13023,7.09691,7.09374,,,,,
targetIP=95.101.1.82,21285,1.10926,0.973635,0.98782,0.981065,0.9207,,,,,
targetIP=23.215.133.9,10390,35.12182,34.79323,35.18401,34.912095,35.32095,,,,,
targetIP=66.210.41.10,10394,13.29536,18.74866,9.52359,11.058565,8.98372,,,,,
targetIP=200.105.130.14,31168,8.12001,6.293045,6.117285,6.33555,7.210355,,,,,
targetIP=128.139.199.8,16933,2.287275,2.0531,2.008915,2.07188,3.34953,,,,,
targetIP=92.123.72.23,16930,7.39584,7.3015,7.068435,7.326605,7.254205,,,,,
targetIP=173.223.106.9,34428,14.029185,13.584625,12.496645,11.326975,10.55611,,,,,
targetIP=95.101.182.106,6217,57.358971,57.459745,57.338742,57.052458,57.350092,,,,,
targetIP=164.113.67.75,6216,0.292405,0.182507,0.243788,0.207112,0.205412,,,,,
targetIP=184.28.188.178,6215,0.385724,0.319889,0.246445,0.262341,0.285763,,,,,
targetIP=88.221.134.58,6214,11.46837,11.35707,11.47379,11.274105,11.407605,,,,,
targetIP=88.221.134.58,6213,12.049897,12.054338,12.025752,12.035347,12.075893,,,,,
targetIP=95.101.1.72,12223,8.603895,8.502265,8.40672,8.31447,8.33768,,,,,
targetIP=88.221.134.58,6211,46.843794,46.826655,46.811155,49.71442,46.870684,,,,,
targetIP=2.20.248.73,6210,5.996383,5.94514,5.994232,5.937349,6.013483,,,,,
targetIP=23.10.249.176,6219,0.978814,0.94416,0.939599,1.110354,1.005716,,,,,
targetIP=23.62.157.110,6218,76.716976,76.553918,76.770301,76.526456,76.749899,,,,,
targetIP=96.17.196.105,15708,52.23096,54.249795,52.3634,56.067945,51.825645,,,,,
targetIP=80.239.247.28,13542,6.802415,6.760615,6.80255,6.7761,42.15075,,,,,
targetIP=23.210.203.25,15701,25.254055,24.830545,25.257775,25.16203,25.064195,,,,,
targetIP=49.231.57.27,29370,24.114905,23.81991,,,,,,,,
targetIP=88.221.235.155,29376,9.124365,8.359265,8.325145,8.016755,8.49758,,,,,
targetIP=2.20.248.73,29377,23.115785,21.710375,17.22444,19.881245,17.658025,,,,,
targetIP=23.62.62.160,10576,24.95476,24.364155,22.895305,22.56436,22.11389,,,,,
targetIP=209.148.192.26,29379,13.999675,22.053915,15.437445,18.074255,13.277335,,,,,
targetIP=104.93.82.34,24147,23.75117,23.11934,22.46482,23.171705,22.76731,,,,,
targetIP=129.143.66.147,21424,1.550755,1.31829,1.437485,1.36871,1.33099,,,,,
targetIP=193.247.167.145,24142,0.54826,0.48925,0.489575,0.52935,0.508015,,,,,
targetIP=104.83.4.171,18931,10.93833,11.717835,8.71048,10.561055,8.78108,,,,,
targetIP=92.122.48.27,18939,1.24127,1.055955,1.05014,1.055955,1.12152,,,,,
targetIP=95.101.82.8,32467,13.09992,12.475875,12.46404,12.50736,12.47802,,,,,
targetIP=82.216.34.16,30628,8.56808,14.603405,15.32072,39.661265,8.51359,,,,,
targetIP=64.126.131.3,33759,6.33871,5.31989,6.77435,5.626875,6.82519,,,,,
targetIP=88.221.144.145,30621,12.4246,13.37159,14.23325,12.76977,11.29171,,,,,
targetIP=23.214.196.65,30626,26.970065,28.815455,27.638175,30.514515,28.737195,,,,,
targetIP=92.226.0.175,30625,1404.516545,122.424205,16.722235,16.46164,16.473015,,,,,
targetIP=213.197.182.201,33025,1.09202,0.80031,0.77392,0.855285,0.95038,,,,,
targetIP=72.247.178.121,29660,17.13918,16.5372,16.27367,16.37165,16.31638,,,,,
targetIP=95.101.182.138,17131,31.36656,30.4653,30.502475,30.736805,30.51247,,,,,
targetIP=95.101.1.72,18824,4.040405,4.00116,3.965165,4.00148,4.002,,,,,
targetIP=95.101.182.153,32140,7.030535,6.89243,6.899085,6.92426,6.902885,,,,,
targetIP=84.15.67.8,18534,5.381925,5.1862,5.22334,5.222,5.16127,,,,,
targetIP=193.247.167.145,18823,19.10424,19.07692,19.137475,19.426015,18.889745,,,,,
targetIP=2.16.4.138,18820,8.08991,8.114625,7.95924,8.001445,8.05783,,,,,
targetIP=77.222.148.97,29596,0.8284,0.788815,0.78192,0.776175,0.770525,,,,,
targetIP=80.239.247.28,18310,27.78725,27.667535,27.675125,27.752135,27.72773,,,,,
targetIP=184.150.163.8,29594,23.062425,22.68891,22.456865,22.74728,22.681015,,,,,
targetIP=104.103.72.96,29590,12.35277,12.41037,11.3142,11.841545,12.3769,,,,,
targetIP=80.239.236.42,18312,1.845185,2.07453,2.44767,1.582965,1.97154,,,,,
targetIP=72.247.182.10,33934,11.396815,11.216735,11.054735,11.100855,11.15476,,,,,
targetIP=2.20.188.10,24554,15.206945,14.751595,14.543295,14.54057,14.50169,,,,,
targetIP=104.96.0.153,14343,0.629675,0.48494,0.514505,0.786785,0.53791,,,,,
targetIP=119.235.0.41,18643,2.26665,2.06313,2.053115,2.097955,2.17117,,,,,
targetIP=23.6.112.113,11119,1.152375,1.1194,1.15326,1.02818,1.045695,,,,,
targetIP=95.101.182.153,11118,26.9195,25.772745,25.865365,26.225085,26.003935,,,,,
targetIP=23.65.29.18,690,14.478339,17.520388,15.421443,15.046659,14.969859,,,,,
targetIP=195.249.209.194,691,18.090244,9.806594,9.71981,11.196674,9.434114,,,,,
targetIP=185.42.244.209,31907,6.62222,6.71693,6.946495,7.02283,7.06309,,,,,
targetIP=104.72.70.10,28359,0.798205,0.71705,0.7057,0.703025,0.80576,,,,,
targetIP=95.101.1.82,28356,3.969335,3.81974,3.784315,3.805285,3.69472,,,,,
targetIP=82.216.34.26,28427,6.74911,7.87261,7.371105,6.64077,6.81222,,,,,
targetIP=2.21.89.32,699,1.291008,1.295616,1.344,1.323265,1.30176,,,,,
targetIP=184.150.187.72,28421,155.799605,155.675895,155.700915,155.72415,155.723925,,,,,
targetIP=23.210.203.25,28352,1.46345,1.32298,1.300795,1.349725,1.38496,,,,,
targetIP=92.123.155.48,28423,12.010175,11.89949,11.846845,11.899525,11.78945,,,,,
targetIP=23.55.58.250,28422,2.659085,2.706835,2.600195,2.808955,2.657145,,,,,
targetIP=23.55.59.32,30335,14.590015,14.20749,14.60319,14.365375,14.818875,,,,,
targetIP=196.46.1.136,19574,0.958545,0.64163,0.649885,0.658925,0.83294,,,,,
targetIP=23.205.220.123,30330,19.50469,19.10544,19.130965,19.033465,19.116015,,,,,
targetIP=23.215.130.136,34304,26.36131,25.865265,25.826635,25.821945,25.833105,,,,,
targetIP=149.135.80.74,34307,16.32038,16.699285,16.684595,16.644555,15.77516,,,,,
targetIP=92.122.122.144,34306,11.410985,11.327585,11.49599,11.218535,11.148435,,,,,
targetIP=184.50.87.10,34308,47.769485,49.74716,48.464285,50.820495,50.66269,,,,,
targetIP=119.224.143.48,30338,2.424055,2.347985,2.329565,2.27028,2.263255,,,,,
targetIP=104.107.216.179,11815,13.32735,12.9323,12.83054,12.988895,12.999495,,,,,
targetIP=2.16.117.57,31575,27.595235,27.51821,28.0633,27.916565,27.4043,,,,,
targetIP=2.22.112.178,31577,6.28216,6.652,6.3064,6.212335,6.20486,,,,,
targetIP=23.200.86.168,13842,1.4095,1.326495,1.35843,1.32107,1.324405,,,,,
targetIP=23.1.240.114,19103,1.009745,0.95615,0.910185,0.922205,0.87187,,,,,
targetIP=104.86.111.145,19104,3.77477,3.66,3.62292,3.652815,3.695955,,,,,
targetIP=96.17.196.91,35218,9.215735,9.186645,9.1816,9.13098,9.1266,,,,,
targetIP=87.245.195.208,35219,5.10619,2.864975,2.37331,1.96076,2.266105,,,,,
targetIP=203.29.143.168,35214,17.511485,16.669485,17.491055,17.147255,16.998585,,,,,
targetIP=213.136.45.9,23264,5.09313,4.90077,4.907635,4.81224,4.87028,,,,,
targetIP=80.239.236.42,23262,9.689875,9.643165,9.613065,9.60591,9.607965,,,,,
targetIP=212.126.99.8,11560,4.204815,0.66674,0.80377,0.663745,0.66247,,,,,
targetIP=84.234.155.179,11561,10.46109,10.30183,10.519295,10.341825,10.340735,,,,,
targetIP=80.239.159.9,11562,1.393775,1.162735,1.28349,1.38371,1.24664,,,,,
targetIP=92.123.72.7,11563,3.649675,3.35944,3.35229,3.348355,3.423725,,,,,
targetIP=95.101.1.82,19030,1.45649,1.452545,1.330445,1.3152,1.33357,,,,,
targetIP=173.222.108.33,22247,12.82602,14.37546,12.419355,12.994965,14.34093,,,,,
targetIP=49.231.57.33,22242,17.325715,17.07684,17.20459,17.22187,17.191755,,,,,
targetIP=213.57.23.147,25049,10.42089,10.07128,9.96273,10.0267,10.17755,,,,,
targetIP=104.79.10.145,25738,8.316935,8.068755,8.704485,9.296555,8.204155,,,,,
targetIP=125.56.205.8,25043,15.207155,14.60949,12.16636,9.99038,11.28905,,,,,
targetIP=184.51.15.150,25047,4.28103,4.1943,4.207745,4.25399,3.84006,,,,,
targetIP=23.214.196.11,34547,11.88764,11.773045,11.57821,11.73184,11.61252,,,,,
targetIP=92.123.72.7,27398,9.28205,9.2252,10.498045,15.556745,17.164565,,,,,
