target,prb_id,result1,result2,result3,result4,result5,,,,,
targetIP=88.221.254.217,13538,16.071025,14.54433,18.679,17.751945,16.64485,,,,,
targetIP=202.124.107.202,11753,20.071235,19.903875,19.76589,19.934425,19.849765,,,,,
targetIP=107.14.40.217,11911,194.59528,185.61029,237.57318,98.53849,107.97311,,,,,
targetIP=217.212.252.195,11758,6.95377,6.77312,6.786125,6.68986,5.920315,,,,,
targetIP=2.22.113.98,19560,10.55741,10.29309,10.371685,10.25183,10.72146,,,,,
targetIP=200.143.247.10,28708,23.89141,23.9164,23.921605,24.002085,24.550225,,,,,
targetIP=104.83.4.58,19563,5.428555,5.45142,5.23651,5.441425,5.288875,,,,,
targetIP=62.4.254.158,16395,5.10183,4.92585,5.07511,4.97709,5.0266,,,,,
targetIP=119.110.115.90,29260,17.94211,16.66289,16.574285,17.3581,16.62637,,,,,
targetIP=58.28.25.8,11016,23.461165,23.841295,23.66362,22.549605,21.71423,,,,,
targetIP=23.10.249.34,20731,7.795955,7.727585,7.583135,7.588305,7.69927,,,,,
targetIP=213.153.34.16,21475,8.26208,8.892985,8.09744,9.008395,11.1385,,,,,
targetIP=209.121.139.176,20733,4.93897,4.615185,4.96779,4.714935,4.66776,,,,,
targetIP=88.221.132.41,20884,3.91369,3.44723,3.52788,3.46844,3.426095,,,,,
targetIP=190.13.74.214,20883,213.42914,212.799295,212.967515,212.825605,219.688715,,,,,
targetIP=23.194.112.43,20734,12.897335,12.613915,12.759085,12.60666,12.649005,,,,,
targetIP=129.143.66.155,19853,4.89753,4.02239,3.379405,3.312895,6.622445,,,,,
targetIP=67.220.142.235,32066,144.94479,144.472615,146.8888,144.9079,148.26589,,,,,
targetIP=195.14.151.149,13084,20.38638,20.60149,19.800835,20.598685,19.374095,,,,,
targetIP=65.175.141.202,13288,11.28656,12.881425,12.347895,12.071015,11.340245,,,,,
targetIP=95.100.252.56,13284,10.11328,9.901115,10.452165,10.15969,9.62623,,,,,
targetIP=92.122.190.25,173,46.480906,46.56001,46.235146,46.274314,46.79041,,,,,
targetIP=95.101.1.106,13282,4.38679,3.8941,4.05496,3.889775,4.04702,,,,,
targetIP=92.122.122.147,13280,10.540815,9.35197,9.398845,12.007935,9.3653,,,,,
targetIP=88.221.213.209,17889,110.180835,110.201445,110.53632,110.57305,110.75873,,,,,
targetIP=80.68.78.46,11992,3.67489,4.81985,3.672625,3.71668,4.51162,,,,,
targetIP=23.204.103.50,14166,15.007935,15.06553,15.06692,15.03451,14.487925,,,,,
targetIP=23.219.91.17,21282,4.00925,3.778115,3.830405,3.746535,3.787085,,,,,
targetIP=2.17.120.154,21280,17.138235,15.899345,14.33573,14.976395,16.61262,,,,,
targetIP=173.222.211.9,21934,7.35548,7.200055,7.22066,7.154045,7.177675,,,,,
targetIP=87.236.156.152,21284,3.9168,3.80219,3.777245,3.755115,3.78674,,,,,
targetIP=88.221.117.40,21937,12.84757,13.198745,14.285755,12.863475,12.776075,,,,,
targetIP=23.32.46.25,14164,20.38098,19.6942,18.11387,17.423255,17.683425,,,,,
targetIP=23.43.165.146,10390,43.738635,43.64352,43.481865,43.62273,43.164,,,,,
targetIP=72.195.165.152,10394,11.82565,10.72909,11.483425,8.851685,8.723405,,,,,
targetIP=83.151.132.121,205,8.186882,1.794048,1.797888,1.81248,1.920768,,,,,
targetIP=200.105.130.12,31168,6.472205,6.77745,6.59052,6.245495,6.237915,,,,,
targetIP=23.192.163.80,32446,8.753645,8.38366,8.2466,8.557645,8.438075,,,,,
targetIP=128.139.199.7,16933,None,999.051185,118.61383,2.12159,2.01737,2.12649,,,,
targetIP=88.221.117.40,16930,25.512725,25.28409,25.20523,25.418085,25.100415,,,,,
targetIP=173.223.106.11,34428,12.03165,13.02099,11.808675,13.12896,11.961645,,,,,
targetIP=184.25.56.90,12226,25.37672,25.922165,26.093345,25.85082,25.738575,,,,,
targetIP=164.113.67.72,6216,0.246683,0.245939,0.198632,0.178766,0.236958,,,,,
targetIP=104.80.88.10,6215,26.636676,26.62963,26.635805,26.655347,26.650176,,,,,
targetIP=2.17.120.162,12225,8.299775,7.84844,8.148285,7.820455,8.07871,,,,,
targetIP=88.221.117.18,6213,0.436394,0.433199,0.412988,0.441759,0.407523,,,,,
targetIP=184.25.56.90,6212,48.292657,48.296672,48.209587,48.211673,48.380821,,,,,
targetIP=88.221.134.106,6211,54.201748,56.948899,52.815178,68.009074,55.727222,,,,,
targetIP=2.20.242.18,6210,18.339907,18.3158,18.428628,18.301179,18.37156,,,,,
targetIP=2.20.242.18,6219,12.485159,12.475413,12.472942,12.435786,12.435522,,,,,
targetIP=23.215.102.136,6218,202.455207,202.23822,202.307789,202.449833,202.519941,,,,,
targetIP=104.81.60.65,15708,52.748535,57.64575,51.79539,54.6689,52.746465,,,,,
targetIP=193.170.140.78,13542,7.77857,7.48266,7.566155,8.079165,7.816865,,,,,
targetIP=88.221.132.65,3879,26.141958,22.622213,23.101445,22.444805,21.819653,,,,,
targetIP=221.110.152.48,15701,25.6226,25.491185,24.934155,25.15115,25.0335,,,,,
targetIP=49.231.57.41,29370,24.650295,24.930505,24.65157,24.76455,24.819115,,,,,
targetIP=88.221.117.40,29376,13.29855,12.05482,12.07187,12.093,12.370805,,,,,
targetIP=2.20.242.11,29377,42.44631,46.162945,39.131455,41.0877,38.051305,,,,,
targetIP=107.14.40.202,10576,30.178645,30.819975,29.021025,28.76449,28.300025,,,,,
targetIP=88.221.144.120,11917,15.22604,12.99083,14.06888,12.5364,12.894,,,,,
targetIP=2.20.242.18,24147,39.04106,39.59951,39.143975,39.045565,39.66449,,,,,
targetIP=129.143.66.154,21424,1.397115,1.321765,1.302355,1.371105,1.307025,,,,,
targetIP=2.20.242.18,24142,17.85633,17.67312,17.87476,17.658435,17.67197,,,,,
targetIP=2.17.120.162,21423,40.8204,40.434685,40.54272,40.252315,40.296295,,,,,
targetIP=92.122.53.9,18939,29.488035,29.456815,29.413125,29.43288,29.41141,,,,,
targetIP=217.212.252.193,3871,51.131914,51.058955,51.074315,51.008267,51.008267,,,,,
targetIP=82.216.34.59,30628,12.73157,8.57018,7.57875,12.61886,11.68434,,,,,
targetIP=64.126.131.3,33759,6.8305,5.405855,6.65245,5.77847,5.434675,,,,,
